title,abstract,cleaned_abstract
The Silent Surge: Obesity Driving a Global Cardiovascular Crisis.,"Recent global estimates indicate that more than one billion people live with obesity, a figure that has doubled since 1990. When overweight individuals are included, nearly 2.5 billion adults are affected, with high body mass index contributing to an estimated 1.9 million cardiovascular disease (CVD) deaths annually. Obesity and its close association with CVD remain pressing public health challenges that require sustained, coordinated action. Recent global policy discussions, including the UN General Assembly's Zero Draft Political Declaration, highlight the importance of improving food labelling, taxing sugary drinks, limiting the marketing of unhealthy foods, and encouraging active living through supportive urban planning. Countries are encouraged to align national obesity strategies with the WHO's 2022 Acceleration Plan to STOP Obesity, with clear goals and mechanisms for accountability and monitoring. Preventive measures are most effective when introduced early, such as encouraging breastfeeding and creating supportive school environments that offer balanced meals, limit access to unhealthy foods, and incorporate regular physical activity into daily schedules. Fiscal measures, including taxes, subsidies, and mandatory nutrition labels, can help guide consumer choices towards healthier options. Supportive built environments with safe access to parks, pedestrian routes, and cycling paths further encourage active lifestyles. Health systems are central in ensuring equitable access to prevention and treatment, delivered through stigma-free and evidence-based care. Community-based and family-oriented programs have shown promise, while pharmacological options may complement lifestyle approaches where appropriate. Long-term progress depends on sustained commitment, cross-sectoral collaboration, and integration of obesity prevention into broader public health frameworks.",recent global estimate indicate billion people live obesity figure double overweight individual include nearly billion adult affect high body mass index contribute estimate million cardiovascular disease cvd death annually obesity close association cvd remain press public health challenge require sustain coordinated action recent global policy discussion include un general assembly zero draft political declaration highlight importance improve food labelling tax sugary drink limit marketing unhealthy food encourage active living supportive urban planning country encourage align national obesity strategy acceleration plan stop obesity clear goal mechanism accountability monitoring preventive measure effective introduce early encourage breastfeed create supportive school environment offer balanced meal limit access unhealthy food incorporate regular physical activity daily schedule fiscal measure include taxis subsidy mandatory nutrition label help guide consumer choice healthy option supportive build environment safe access park pedestrian route cycling path encourage active lifestyle health system central ensure equitable access prevention treatment deliver stigma free evidence base care community base family orient program show promise pharmacological option complement lifestyle approach appropriate long term progress depend sustained commitment cross sectoral collaboration integration obesity prevention broad public health framework
A potential association between tirzepatide and hypercalcemia in the setting of chronic hydrochlorothiazide use.,"Hypercalcemia is a prevalent electrolyte disturbance commonly associated with primary hyperparathyroidism, cancer, or medication adverse effects. Thiazide diuretics reduce urinary calcium excretion, increasing calcium reabsorption and hypercalcemia. Tirzepatide, a dual GIP and GLP-1 receptor agonist, is increasingly used for type 2 diabetes and obesity. While GIP/GLP-1 agonists typically have negligible effects on calcium homeostasis, the interaction between tirzepatide and thiazides remains unstudied. We report a 65-year-old female with obesity, hypertension, CKD3, and T2DM on chronic HCTZ who developed symptomatic hypercalcemia (corrected calcium: 4.58 mmol/L; normal range: 2.12-2.62 mmol/L), resulting in altered mental status days after initiating tirzepatide. PTH and vitamin D levels were low, and imaging ruled out malignancy. Discontinuation of tirzepatide/HCTZ, IV hydration, and calcitonin normalized her calcium by hospital day 4. This case highlights a potential association between HCTZ and tirzepatide in causing severe hypercalcemia. No prior reports link tirzepatide (or its combination with thiazides) to hypercalcemia. The mechanism likely involves thiazide-induced calcium reabsorption and tirzepatide's effects on bone turnover. As the use of tirzepatide and other GLP-1/GIP agonists becomes more prevalent, clinicians need to closely monitor calcium levels in thiazide-treated individuals, particularly those with CKD. Additional research is also needed to elucidate the drug's interaction with calcium metabolism. Clinicians should be aware of the potential for severe hypercalcemia when tirzepatide is co-administered with chronic thiazide diuretics, particularly hydrochlorothiazide (HCTZ), in patients with pre-existing CKD. Tirzepatide, a dual GIP and GLP-1 receptor agonist, may influence calcium metabolism through mechanisms including increased osteoblastic activity and altered PTH regulation, especially in individuals with impaired renal clearance. Baseline and follow-up serum calcium monitoring is strongly recommended within 1-2 weeks of initiating tirzepatide in patients receiving thiazide diuretics or those with CKD. This case suggests a possible drug-drug interaction between tirzepatide and HCTZ leading to symptomatic hypercalcemia, highlighting the need for pharmacovigilance as newer agents are integrated into routine diabetes care. Severe hypercalcemia can present with nonspecific symptoms such as altered mental status, fatigue, constipation, and polyuria; clinicians should maintain a high index of suspicion in susceptible populations. Prompt cessation of the suspected offending agents, hydration, and short-term use of calcitonin can result in rapid and sustained normalization of calcium levels without the need for bisphosphonates.",hypercalcemia prevalent electrolyte disturbance commonly associate primary hyperparathyroidism cancer medication adverse effect thiazide diuretic reduce urinary calcium excretion increase calcium reabsorption hypercalcemia tirzepatide dual gip receptor agonist increasingly type diabete obesity gip agonist typically negligible effect calcium homeostasis interaction tirzepatide thiazide remain unstudied report year old female obesity hypertension dm chronic hctz develop symptomatic hypercalcemia correct calcium mmol l normal range mmol l result alter mental status day initiate tirzepatide pth vitamin d level low imaging rule malignancy discontinuation tirzepatide hctz iv hydration calcitonin normalize calcium hospital day case highlight potential association hctz tirzepatide cause severe hypercalcemia prior report link tirzepatide combination thiazide hypercalcemia mechanism likely involve thiazide induce calcium reabsorption tirzepatide effect bone turnover use tirzepatide gip agonist prevalent clinician need closely monitor calcium level thiazide treat individual particularly ckd additional research need elucidate drug interaction calcium metabolism clinician aware potential severe hypercalcemia tirzepatide co administer chronic thiazide diuretic particularly hydrochlorothiazide hctz patient pre exist ckd tirzepatide dual gip receptor agonist influence calcium metabolism mechanism include increase osteoblastic activity alter pth regulation especially individual impaired renal clearance baseline follow serum calcium monitoring strongly recommend week initiate tirzepatide patient receive thiazide diuretic ckd case suggest possible drug drug interaction tirzepatide hctz lead symptomatic hypercalcemia highlight need pharmacovigilance new agent integrate routine diabete care severe hypercalcemia present nonspecific symptom altered mental status fatigue constipation polyuria clinician maintain high index suspicion susceptible population prompt cessation suspect offend agent hydration short term use calcitonin result rapid sustained normalization calcium level need bisphosphonate
"Advancing Pediatric Hypertension: Mechanism Insights, Clinical Trials and Innovation.","Pediatric hypertension (PH) is an emerging global public health issue, increasingly linked to genetic, environmental, and lifestyle factors. Early-onset hypertension is associated with progressive long-term cardiovascular problems. This overview outlines the epidemiology, etiology, pathophysiology, treatment modalities, and current clinical studies related to hypertension in children and adolescents. A methodical search was conducted on PubMed, Scopus, and Web of Science using specific preset keywords. Recent high-quality peer-reviewed studies, trials, and reviews from the past decade were highlighted. The primary factors are genetic predisposition, renal artery stenosis, activation of the renin-angiotensin-aldosterone system (RAAS), obesity, metabolic syndrome, and sodium excess. Treatment involves lifestyle modifications and pharmacological intervention with ACE inhibitors, calcium channel blockers, beta-blockers, and diuretics. Recent clinical trials have provided insights into the safety and efficacy of therapies. The effective management of pediatric hypertension relies on prompt identification and individualized treatment. In future studies, priority should be given to precision medicine, long-term follow-up data, and the utilization of technological resources for surveillance.",pediatric hypertension ph emerge global public health issue increasingly link genetic environmental lifestyle factor early onset hypertension associate progressive long term cardiovascular problem overview outline epidemiology etiology pathophysiology treatment modality current clinical study relate hypertension child adolescent methodical search conduct pubmed scopus web science specific preset keyword recent high quality peer review study trial review past decade highlight primary factor genetic predisposition renal artery stenosis activation renin angiotensin aldosterone system raas obesity metabolic syndrome sodium excess treatment involve lifestyle modification pharmacological intervention ace inhibitor calcium channel blocker beta blocker diuretic recent clinical trial provide insight safety efficacy therapy effective management pediatric hypertension rely prompt identification individualized treatment future study priority give precision medicine long term follow datum utilization technological resource surveillance
Does Bariatric Surgery Impact Hypothyroidism and Vice Versa? Results of a Prospective Comparative Study.,"The imbalanced basal metabolic rate and energy expenditure proportion is an essential etiology of obesity. Thyroid hormones are vital in managing energy expenditure and body mass index (BMI). Hypothyroidism is associated with a decreased metabolic rate and increased prevalence of obesity. We aimed to analyze the outcomes of bariatric surgery among patients who underwent bariatric surgery with hypothyroidism and morbid obesity. We performed a prospective comparative analysis of 314 patients who underwent bariatric surgery between September 2019 and November 2022 and completed 1-year follow-up. Patients were divided into control and test groups, comprising 158 euthyroid and 156 hypothyroid patients living with obesity, respectively. Among 156 hypothyroid patients,131 (83.9%) were females. The mean BMI was 44.82 ± 9.46 kg/m2. Percentage total weight loss (%TWL) during 6 months and 1 year was 25.46 ± 4.59 and 36.61 ± 5.13 (p < 0.001), respectively. The baseline value of TSH, FT3, and FT4 was 7.78 ± 11.11, 3.07 ± 0.46, and 1.29 ± 0.27, respectively. Serum TSH significantly reduced at 6 months (3.82 ± 2.15) (p- 0.040) and 1 year (2.61 ± 1.62) (p-0.018), while changes in FT3 and FT4 were not significant. There was a negative correlation of TSH (r - 0.395*, p 0.031) and FT3(r - 0.357*, p = 0.049) with %TWL at 1 year. Thyroid replacement therapy (TRT) dosage significantly reduced 1 year following surgery (p < 0.001). TSH and FT3 are directly associated with TRT improvement. Bariatric surgery promotes significant improvement in thyroid function and a decrease in TRT dosage. A negative correlation was observed between %TWL, FT3, and TSH reduction. A reduction in FT3 and TSH directly correlates with decreased TRT dosage.",imbalance basal metabolic rate energy expenditure proportion essential etiology obesity thyroid hormone vital manage energy expenditure body mass index bmi hypothyroidism associate decrease metabolic rate increase prevalence obesity aim analyze outcome bariatric surgery patient undergo bariatric surgery hypothyroidism morbid obesity perform prospective comparative analysis patient undergo bariatric surgery september november complete year follow patient divide control test group comprise euthyroid hypothyroid patient live obesity respectively hypothyroid female mean bmi kg percentage total weight loss twl month year p respectively baseline value tsh respectively serum tsh significantly reduce month year change significant negative correlation tsh r p p twl year thyroid replacement therapy trt dosage significantly reduce year follow surgery p tsh directly associate trt improvement bariatric surgery promote significant improvement thyroid function decrease trt dosage negative correlation observe twl tsh reduction reduction tsh directly correlate decrease trt dosage
"Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD): the interplay of gut microbiome, insulin resistance, and diabetes.","The global prevalence of Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD) has reached alarming levels, affecting nearly one-third of the world's population. This review analyzes current evidence on the intricate relationships between MASLD, insulin resistance, and type 2 diabetes mellitus (T2DM), with particular emphasis on gut microbiome interactions. As MASLD progresses from simple steatosis to Metabolic Dysfunction-Associated Steatohepatitis (MASH), it can lead to severe complications including fibrosis, cirrhosis, and hepatocellular carcinoma. The pathogenesis of MASLD is multifactorial, involving hepatic lipid accumulation, oxidative stress, inflammation, and dysregulation of the gut-liver axis. Insulin resistance is a central driver of disease progression, closely linked to obesity and metabolic syndrome. Recent research highlights how gut microbiome dysbiosis exacerbates MASLD through mechanisms such as increased intestinal permeability, systemic inflammation, and altered metabolic signaling. Identification of microbial signatures offers promise for novel diagnostic and therapeutic strategies. By integrating metabolic, inflammatory, and microbial perspectives, this review provides a comprehensive overview of MASLD pathogenesis and its association with obesity, insulin resistance, and T2DM.",global prevalence metabolic dysfunction associate steatotic liver disease masld reach alarming level affect nearly world population review analyze current evidence intricate relationship masld insulin resistance type diabetes mellitus dm particular emphasis gut microbiome interaction masld progress simple steatosis metabolic dysfunction associate steatohepatitis mash lead severe complication include fibrosis cirrhosis hepatocellular carcinoma pathogenesis masld multifactorial involve hepatic lipid accumulation oxidative stress inflammation dysregulation gut liver axis insulin resistance central driver disease progression closely link obesity metabolic syndrome recent research highlight gut microbiome dysbiosis exacerbate masld mechanism increase intestinal permeability systemic inflammation alter metabolic signal identification microbial signature offer promise novel diagnostic therapeutic strategy integrate metabolic inflammatory microbial perspective review provide comprehensive overview masld pathogenesis association obesity insulin resistance dm
Sex Differences in Effectiveness of Semaglutide in Patients with Peripheral Artery Disease: The STRIDE Trial.,"Peripheral artery disease (PAD) is prevalent in women and men with type 2 diabetes (T2D). Sex-based differences exist in its epidemiology, clinical presentation, functional impact, outcomes, and potentially in responses to treatments. Recently, semaglutide 1.0 mg has been shown to improve functional outcomes and health-related quality of life (QoL) in individuals with early symptomatic PAD and T2D in the STRIDE trial. To describe baseline characteristics, functional status, and therapeutic efficacy of once-weekly semaglutide 1.0 mg between females and males with PAD and T2D as a post-hoc analysis from the STRIDE trial. The primary endpoint in STRIDE was the ratio to baseline in maximum walking distance (MWD) at week 52 on a constant load treadmill. Confirmatory secondary endpoints included change in MWD at week 57, change in pain-free walking distance (PFWD) at week 52, and change in PAD-specific vascular quality of life (VascuQoL-6) total score from baseline to week 52. Herein, we report the outcomes analyzed by sex. Of 792 participants, 195 (24.6%) were female and 597 (75.4%) were male. Females were younger, had lower rates of smoking, lower prevalence of concomitant coronary artery disease and heart failure, and less frequent use of antiplatelet therapies compared to males. Geometric mean MWD at baseline was 187.3 meters (coefficient of variation [CV] 0.6) and 191.5 meters (CV 0.6) in females and males, respectively. At week 52, there was a consistent improvement in MWD across sexes, which favored semaglutide treatment (p-interaction value=0.65). At week 57, there was a consistent trend for improved MWD that favored semaglutide treatment for both females and males (p-interaction value=0.53). Improvement in PFWD was consistent across sexes at week 52 in favor of semaglutide (p-interaction value=0.80). Likewise, PAD-specific QoL (assessed by VascuQOL-6) improvements with semaglutide in both sexes were consistent with the overall trial. In this post-hoc analysis from STRIDE, semaglutide 1.0 mg exhibited consistent improvements in functional outcomes in people with early symptomatic PAD and T2D regardless of sex. Females with PAD demonstrated differences in baseline demographics, and treatment patterns compared to males, highlighting the importance of sex-specific evaluation in PAD trials.",peripheral artery disease pad prevalent woman man type diabetes sex base difference exist epidemiology clinical presentation functional impact outcome potentially response treatment recently semaglutide mg show improve functional outcome health relate quality life qol individual early symptomatic pad stride trial describe baseline characteristic functional status therapeutic efficacy weekly semaglutide mg female male pad post hoc analysis stride trial primary endpoint stride ratio baseline maximum walking distance mwd week constant load treadmill confirmatory secondary endpoint include change mwd week change pain free walking distance pfwd week change pad specific vascular quality life total score baseline week report outcome analyze sex participant female male female young low rate smoking low prevalence concomitant coronary artery disease heart failure frequent use antiplatelet therapy compare male geometric mean mwd baseline meter coefficient variation cv meter cv female male respectively week consistent improvement mwd sex favor semaglutide treatment p interaction week consistent trend improved mwd favor semaglutide treatment female male p interaction improvement pfwd consistent sex week favor semaglutide p interaction likewise pad specific qol assess improvement semaglutide sex consistent overall trial post hoc analysis stride semaglutide mg exhibit consistent improvement functional outcome people early symptomatic pad regardless sex female pad demonstrate difference baseline demographic treatment pattern compare male highlight importance sex specific evaluation pad trial
Integrative proteomic analysis provides novel therapeutic insights for etiological subtypes of diabetes.,"Type 2 diabetes (T2D) is a highly heterogeneous disease characterised by subtypes with variations in aetiology, disease progression, and risk of complications. However, potential drug targets for these subtypes have not been explored. This study aims to investigate potential drug targets by integrating proteomics. Summary-level data of circulating proteins were extracted from the UK Biobank and the deCODE Health Study. Genetic associations with five diabetes subtypes were obtained from Swedish All New Diabetics in Scania and Malmö Diet and Cancer cohort, including severe autoimmune diabetes (SAID), severe insulin-deficient diabetes (SIDD), severe insulin-resistant diabetes (SIRD), mild obesity-related diabetes (MOD), and mild age-related diabetes (MARD). The associations between circulating proteins and diabetes subtypes were assessed through Mendelian randomisation, followed by multiple sensitivity and colocalization analyses. Additionally, tissue-specific, pathway and functional enrichment analysis, assessment of protein druggability, and the protein-protein interaction (PPI) networks were used to further explore biological mechanisms and therapeutic potential. Genetically predicted levels of 2, 2, 9, 3, and 5 circulating proteins were associated with SIRD, SIDD, MARD, MOD, and SAID, respectively. Colocalization analyses further revealed links between GRN with MARD/SIRD, LILRB5 with SIDD/MARD, CR1 with MARD, TNFSF12 with MOD, and DAPK2 with SAID. Enrichment analysis suggested that these proteins were mainly enriched in blood and adipose tissues and involved in immune and inflammatory related pathways. PPI analysis revealed GRN, TNFSF12, and DAPK2 are associated with known T2D targets. Our study identified several potential drug targets for different subtypes of diabetes using an integrated genetic approach, yielding new insights for precision medicine of diabetes.",type diabetes highly heterogeneous disease characterise subtype variation aetiology disease progression risk complication potential drug target subtype explore study aim investigate potential drug target integrate proteomic summary level datum circulate protein extract uk biobank decode health study genetic association diabetes subtype obtain swedish new diabetic scania malmö diet cancer cohort include severe autoimmune diabetes say severe insulin deficient diabetes sidd severe insulin resistant diabetes sird mild obesity relate diabetes mod mild age relate diabetes mard association circulate protein diabete subtype assess mendelian randomisation follow multiple sensitivity colocalization analysis additionally tissue specific pathway functional enrichment analysis assessment protein druggability protein protein interaction ppi network explore biological mechanism therapeutic potential genetically predict level circulate protein associate sird sidd mard mod say respectively colocalization analysis reveal link grn mard sird sidd mard mard mod say enrichment analysis suggest protein mainly enrich blood adipose tissue involve immune inflammatory relate pathway ppi analysis reveal grn associate know target study identify potential drug target different subtype diabete integrate genetic approach yield new insight precision medicine diabetes
"Income-based inequalities in risk factors of NCDs and inequities of preventive care services amongst 202,682 adults: a cross-sectional study of South Asia Biobank.","There is scant research examining income-based inequalities in risk factors of non-communicable diseases (NCDs) and inequities of preventive care services across the South Asian population. We conducted a cross-sectional study of 202,682 adults aged 18 or above in four South Asian countries: Bangladesh, India, Pakistan, and Sri Lanka. We combined South Asia Biobank (SAB) surveillance data with environmental mapping exposure and 24-h dietary recall to estimate income-based inequalities using concentration curves and concentration indices (CI) that measure the magnitude and directional inequality effects. We also computed the horizontal inequity index (HII) for need-standardised healthcare utilisation and advice by measuring the extent to which the distribution of health promotion advice matches the distribution of diet-related risk factor variables across the income distribution. We reported concentration index coefficients and standard errors. Inequalities in exposure and diet-related risk factors of NCDs were observed. Underweight was concentrated amongst the poor (CI = - 0.16, SE = 0.005, p < 0.001), while overweight and obesity were concentrated amongst the rich (CI = 0.11, SE = 0.003, p < 0.001). Non-recommended intake of fats (CI = 0.04, SE = 0.003, p < 0.001) and carbohydrates were concentrated amongst the rich (CI = 0.05, SE = 0.003, p < 0.001), while non-recommended intake of free sugars (CI = - 0.05, SE = 0.004, p < 0.001) and fruits and vegetables amongst the poor (CI = - 0.07, SE = 0.005, p < 0.001). Exposure to unhealthy outlets was concentrated amongst the rich (CI = 0.02, SE = 0.002, p < 0.001). There were persistent and pro-rich inequities in healthcare utilisation (HII = 0.02, SE = 0.002, p < 0.001) and advice for salt reduction (HII = 0.02, SE = 0.004, p < 0.001), fat reduction (HII = 0.02, SE = 0.004, p < 0.001), healthy weight (HII = 0.03, SE = 0.006, p < 0.001), and fruits and vegetables consumption (HII = 0.04, SE = 0.004, p < 0.001). These findings indicate the need to address and mitigate income-based inequalities in diet-related risk factors of NCDs and underscore the need of policies directed at mitigating NCDs risk exposure and achieving improved and equitable access to healthcare.",scant research examine income base inequality risk factor non communicable disease ncds inequity preventive care service south asian population conduct cross sectional study adult age south asian country bangladesh india pakistan sri lanka combine south asia biobank sab surveillance datum environmental mapping exposure h dietary recall estimate income base inequality concentration curve concentration index ci measure magnitude directional inequality effect compute horizontal inequity index hii need standardise healthcare utilisation advice measure extent distribution health promotion advice match distribution diet relate risk factor variable income distribution report concentration index coefficient standard error inequality exposure diet relate risk factor ncds observe underweight concentrate poor ci se p overweight obesity concentrate rich ci se p non recommended intake fat ci se p carbohydrate concentrate rich ci se p non recommended intake free sugar ci se p fruit vegetable poor ci se p exposure unhealthy outlet concentrate rich ci se p persistent pro rich inequity healthcare utilisation hii se p advice salt reduction hii se p fat reduction hii se p healthy weight hii se p fruit vegetable consumption hii se p finding indicate need address mitigate income base inequality diet relate risk factor ncds underscore need policy direct mitigate ncds risk exposure achieve improve equitable access healthcare
"Influence of Exercise on Oxygen Consumption, Pulmonary Ventilation, and Blood Gas Analyses in Individuals with Chronic Diseases.","The increasing prevalence of chronic metabolic diseases poses a significant challenge in the modern world, impacting healthcare systems and individual life expectancy. The World Health Organization (WHO) recommends that older adults (65+ years) engage in 150-300 min of moderate-intensity or 75-150 min of vigorous-intensity physical activity, alongside muscle-strengthening and balance-training exercises at least twice a week. However, nearly one-third of the adult population (31%) is physically inactive, which increases the risk of developing obesity, type 2 diabetes, cardiovascular diseases, hypertension, and psychological issues. Physical activity in the form of aerobic exercise, resistance training, or a combination of both is effective in preventing and managing these metabolic diseases. In this review, we explored the effects of exercise training, especially on respiratory and pulmonary factors, including oxygen consumption, pulmonary ventilation, and blood gas analyses among adults. During exercise, oxygen consumption can increase up to 15-fold (from a resting rate of ~250 mL/min) to meet heightened metabolic demands, enhancing tidal volume and pulmonary efficiency. During exercise, the increased energy demand of skeletal muscle leads to increases in tidal volume and pulmonary function, while blood gases play a key role in maintaining the pH of the blood. In this review, we explored the influence of age, body composition (BMI and obesity), lifestyle factors (smoking and alcohol use), and comorbidities (diabetes, hypertension, neurodegenerative disorders) in the modulation of these physiological responses. We underscored exercise as a potent non-pharmacological intervention for improving cardiopulmonary health and mitigating the progression of metabolic diseases in aging populations.",increase prevalence chronic metabolic disease pose significant challenge modern world impact healthcare system individual life expectancy world health organization recommend old adult year engage min moderate intensity min vigorous intensity physical activity alongside muscle strengthening balance training exercise twice week nearly adult population physically inactive increase risk develop obesity type diabetes cardiovascular disease hypertension psychological issue physical activity form aerobic exercise resistance training combination effective prevent manage metabolic disease review explore effect exercise training especially respiratory pulmonary factor include oxygen consumption pulmonary ventilation blood gas analysis adult exercise oxygen consumption increase fold resting rate ml min meet heighten metabolic demand enhance tidal volume pulmonary efficiency exercise increase energy demand skeletal muscle lead increase tidal volume pulmonary function blood gas play key role maintain ph blood review explore influence age body composition bmi obesity lifestyle factor smoking alcohol use comorbiditie diabete hypertension neurodegenerative disorder modulation physiological response underscore exercise potent non pharmacological intervention improve cardiopulmonary health mitigate progression metabolic disease age population
"Trends in body mass index, nutrient intake and nutritional status of rural adults in India: National Nutrition Monitoring Bureau survey findings (1975-2012).","Overweight/obesity has increased to an epidemic proportion throughout the globe and is an important risk factor for many non-communicable diseases. Globally, 2.5 billion people were overweight/obese and 890 million were obese in 2022. A community based cross-sectional surveys carried out in 10 Indian states by National Nutrition Monitoring Bureau during 1975-79, 1996-97, and 2010-12 was used. In each state, 120 villages and 20 households per village were covered. A total 49,064, 30,740, and 56,235 subjects aged ≥ 18 years were covered and information on the household's socio-demographic characteristics and height (cm) and weight (kg) measurements were carried out. Associations between overweight/obesity and socio-demographic variables were tested using Pearson's chi-square test. The mean body mass index (BMI) has increased significantly (p < 0.001) from 18.4 kg/m<sup>2</sup> (95% CI: 18.3-18.4) in 1975-79 to 20.2 kg/m<sup>2</sup> (95% CI: 20.1-20.2) in 2010-12 among men and from 18.7 kg/m<sup>2</sup> (95% CI: 18.66-18.73) to 20.5 kg/m<sup>2</sup> (95% CI: 20.46-20.54) among women. The prevalence of chronic energy deficiency has significantly (p < 0.001) declined from 59.1% (CI = 58.5-59.7) and 52.4% (CI = 51.7-53) among men & women in 1975-79 to 35% during 2010-12, while overweight/obesity (BMI ≥ 25) has increased significantly (p < 0.001) from 2 to 10% and from 3 to 13% among men and women respectively. Logistic regression analysis revealed that the odds of overweight/obesity was lower among 18-34 years, among Scheduled caste and Scheduled tribe, those living in kutcha houses, among nuclear families, among illiterates and labourers. BMI and overweight/obesity has increased over the periods and are associated with gender, community, education status, and increased fats and oil intakes. The Government of India's initiative like Fit India Movement, NP-NCD, Eat Right, Khelo India, along with strengthening of information, education & communication (IEC) and Health & Nutrition Education will promote healthier lifestyles, better nutrition, physical activities and thus reducing the problem of overweight/obesity.",overweight obesity increase epidemic proportion globe important risk factor non communicable disease globally billion people overweight obese million obese community base cross sectional survey carry indian state national nutrition monitoring bureau state village household village cover total subject age year cover information household socio demographic characteristic height cm weight kg measurement carry association overweight obesity socio demographic variable test pearson chi square test mean body mass index bmi increase significantly p kg m ci kg m ci man kg m ci kg m ci woman prevalence chronic energy deficiency significantly p decline ci ci man woman overweight obesity bmi increase significantly p man woman respectively logistic regression analysis reveal odd overweight obesity low year schedule caste schedule tribe live kutcha house nuclear family illiterate labourer bmi overweight obesity increase period associate gender community education status increase fat oil intake government india initiative like fit india movement np ncd eat right khelo india strengthening information education communication iec health nutrition education promote healthy lifestyle well nutrition physical activity reduce problem overweight obesity
Exploring the Therapeutic Potential of SGLT-2 Inhibitors in Managing Metabolic Syndrome: A Narrative Review.,"Metabolic syndrome, a cluster of interconnected metabolic risk factors such as central obesity, insulin resistance, hypertension, and dyslipidemia, significantly increases the risk of type 2 diabetes mellitus (T2DM) and cardiovascular disease (CVD). Despite its rising prevalence and serious health consequences, metabolic syndrome remains underdiagnosed and undertreated. Sodium-glucose co-transporter-2 (SGLT-2) inhibitors, initially developed for T2DM management, have demonstrated promising therapeutic potential for addressing multiple components of metabolic syndrome. These drugs lower blood glucose levels by promoting glycosuria and exhibit additional benefits, including weight loss, reduced blood pressure, improved lipid profiles, and cardioprotective effects. The impact of SGLT-2 inhibitors on the five metabolic syndrome criteria listed by the National Cholesterol Education Program Adult Treatment Panel III (NCEP ATP III)-central obesity, triglycerides, HDL cholesterol, blood pressure, and fasting glucose levels-is evaluated in this narrative review, which combines results from metaanalyses and clinical trials. Reduced waist circumference, better lipid profiles, lower blood pressure, and improved glycaemic management are some of the main outcomes. Diuresis, natriuresis, enhanced insulin sensitivity, and AMP-activated protein kinase (AMPK) activation are the processes that underlie these effects. Although SGLT-2 inhibitors have a good safety record, they can cause uncommon diabetic ketoacidosis and urinary tract infections, which can be avoided with careful management. The study highlights that more research is necessary to understand long-term effects, optimize dosing regimens, and assess real-world applicability. According to these findings, SGLT-2 inhibitors are essential therapies for managing metabolic syndrome holistically, and they hold great promise for lowering the disease's worldwide burden and related health hazards.",metabolic syndrome cluster interconnect metabolic risk factor central obesity insulin resistance hypertension dyslipidemia significantly increase risk type diabetes mellitus dm cardiovascular disease cvd despite rise prevalence health consequence metabolic syndrome remain underdiagnosed undertreated sodium glucose co inhibitor initially develop dm management demonstrate promise therapeutic potential address multiple component metabolic syndrome drug lower blood glucose level promote glycosuria exhibit additional benefit include weight loss reduce blood pressure improve lipid profile cardioprotective effect impact inhibitor metabolic syndrome criterion list national cholesterol education program adult treatment panel iii ncep atp obesity triglyceride hdl cholesterol blood pressure fast glucose level evaluate narrative review combine result metaanalyse clinical trial reduce waist circumference well lipid profile low blood pressure improve glycaemic management main outcome diuresis natriuresis enhanced insulin sensitivity amp activate protein kinase ampk activation process underlie effect inhibitor good safety record cause uncommon diabetic ketoacidosis urinary tract infection avoid careful management study highlight research necessary understand long term effect optimize dosing regimen assess real world applicability accord finding inhibitor essential therapy manage metabolic syndrome holistically hold great promise lower disease worldwide burden related health hazard
